markers,,,A07_BSxEL 3.CEL,A08_BSxEL 11.CEL,A09_BSxEL 19.CEL,A10_BSxEL 27.CEL,A11_BSxEL 36.CEL,A12_BSxEL 44.CEL,B07_BSxEL 4.CEL,B09_BSxEL 20.CEL,B10_BSxEL 28.CEL,B11_BSxEL 37.CEL,B12_BSxEL 45.CEL,C07_BSxEL 5.CEL
AX-89819724:nmh:np,9,25.125,aa,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa,ab
AX-89904377:phr:np,9,29.301,aa,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa,ab
AX-89781428:nmh:np,9,31.386,aa,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa,ab
AX-89819357:phr:np,9,35.562,aa,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa,ab
AX-89904353:nmh:np,9,39.738,aa,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa,ab
AX-89819292:phr:np,9,41.823,aa,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa,ab
AX-89803475:nmh:lm,9,41.823,aa,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa,ab
AX-89823484:phr:np,9,43.907,aa,ab,ab,aa,aa,aa,ab,ab,ab,ab,aa,ab
AX-89863055:phr:np,9,48.084,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa,aa,ab
AX-89880152:phr:np,9,50.168,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa,aa,ab
AX-89782412:phr:np,9,52.253,aa,ab,ab,aa,aa,aa,ab,ab,ab,aa,aa,ab
AX-89803806:phr:np,9,56.494,aa,aa,ab,ab,aa,aa,ab,ab,ab,-,aa,ab
AX-89781216:nmh:np,9,60.325,aa,aa,ab,-,aa,aa,ab,ab,ab,aa,ab,ab
AX-89806849:nmh:np,9,62.819,aa,aa,ab,aa,aa,aa,ab,ab,ab,aa,aa,ab
AX-89823038:phr:np,9,64.903,aa,aa,ab,aa,aa,aa,ab,ab,ab,aa,aa,ab
AX-89856106:nmh:lm,9,66.988,aa,aa,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89783425:phr:np,9,66.988,aa,aa,ab,aa,aa,aa,ab,ab,aa,aa,aa,ab
AX-89855026:nmh:np,10,0.0,ab,aa,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab
AX-89877439:nmh:np,10,4.256,ab,aa,aa,ab,ab,ab,ab,aa,aa,aa,aa,ab
AX-89781722:nmh:np,10,6.414,ab,aa,aa,ab,ab,ab,ab,aa,aa,aa,ab,-
AX-89877315:nmh:np,10,8.573,ab,aa,aa,ab,ab,ab,ab,aa,aa,aa,ab,ab
AX-89876788:nmh:np,10,14.856,ab,aa,aa,ab,ab,ab,ab,aa,aa,aa,ab,ab
AX-89877296:nmh:np,10,16.94,ab,aa,aa,ab,ab,ab,ab,aa,aa,aa,ab,ab
AX-89819718:nmh:np,10,21.117,ab,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab,aa
AX-89819764:nmh:np,10,25.293,ab,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab,aa
AX-89910880:nmh:lm,10,27.378,ab,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab,aa
AX-89819573:nmh:np,10,31.554,ab,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab,aa
AX-89780931:nmh:np,10,33.639,ab,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab,aa
AX-89904349:nmh:lm,10,33.639,ab,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab,aa
AX-89784021:nmh:lm,10,35.723,ab,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab,aa
AX-89880612:nmh:np,10,35.723,ab,aa,aa,ab,ab,ab,aa,aa,aa,aa,ab,aa
AX-89822879:nmh:np,10,37.808,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab,ab,aa
AX-89855625:nmh:lm,10,37.808,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab,ab,aa
AX-89821954:nmh:np,10,41.984,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab,ab,aa
AX-89850409:nmh:lm,10,44.069,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab,ab,aa
AX-89878027:nmh:np,10,44.069,ab,aa,aa,ab,ab,ab,aa,aa,aa,ab,ab,aa
AX-89880319:phr:np,10,46.153,ab,ab,aa,ab,ab,ab,aa,aa,aa,ab,ab,aa
AX-89863038:phr:np,10,50.329,ab,ab,aa,ab,ab,ab,aa,aa,ab,ab,ab,aa
AX-89783666:nmh:np,10,52.414,ab,ab,aa,ab,ab,ab,aa,aa,aa,ab,ab,aa
AX-89911568:nmh:np,10,54.499,ab,ab,aa,aa,ab,ab,aa,aa,aa,ab,ab,aa
AX-89788963:phr:np,11,0.0,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89912747:nmh:lm,11,2.085,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89886449:phr:np,11,2.085,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89846903:phr:np,11,4.169,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89912891:nmh:lm,11,6.254,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89886710:phr:np,11,6.254,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89829576:phr:np,11,8.338,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89788249:nmh:lm,11,8.338,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89789156:phr:np,11,12.567,aa,ab,ab,ab,ab,ab,aa,ab,ab,ab,aa,aa
AX-89828725:phr:np,11,14.703,aa,ab,ab,ab,ab,ab,aa,ab,ab,aa,aa,aa
AX-89868065:phr:hk,12,0.0,-,ab,ab,-,aa,aa,ab,ab,ab,-,ab,ab
AX-89787575:phr:hk,12,6.495,ab,ab,ab,ab,aa,aa,ab,ab,ab,ab,ab,ab
AX-89802524:phr:hk,12,7.536,ab,ab,ab,ab,aa,aa,ab,ab,ab,ab,ab,ab
AX-89792185:phr:hk,12,10.666,ab,ab,ab,aa,aa,aa,ab,ab,ab,ab,ab,ab
AX-89890286:phr:hk,12,12.75,ab,ab,ab,ab,aa,aa,ab,ab,ab,ab,ab,ab
AX-89825635:phr:hk,12,14.835,ab,ab,ab,ab,aa,aa,ab,ab,ab,ab,ab,ab
AX-89885409:phr:hk,12,15.876,ab,ab,ab,ab,aa,aa,ab,ab,ab,ab,ab,ab
AX-89823971:phr:hk,12,18.17,ab,ab,ab,ab,aa,aa,ab,ab,ab,ab,-,ab
AX-89824267:phr:hk,12,19.211,ab,ab,ab,ab,aa,aa,ab,ab,ab,ab,ab,ab
AX-89904778:phr:hk,12,22.341,ab,ab,ab,ab,aa,ab,ab,ab,ab,ab,ab,ab
AX-89881670:phr:hk,13,0.0,ab,ab,ab,ab,bb,ab,ab,ab,ab,ab,ab,ab
AX-89843610:phr:hk,13,1.042,ab,ab,ab,ab,bb,ab,ab,ab,ab,ab,ab,ab
AX-89822339:phr:hk,13,4.38,ab,ab,ab,ab,bb,ab,ab,ab,ab,ab,ab,ab
AX-89881162:phr:hk,13,8.766,ab,ab,ab,ab,bb,bb,ab,ab,ab,ab,ab,ab
AX-89881250:phr:hk,13,10.851,ab,ab,ab,ab,bb,bb,ab,ab,ab,ab,ab,ab
AX-89883123:phr:hk,13,17.557,ab,ab,ab,ab,bb,bb,ab,ab,ab,ab,ab,ab
AX-89825984:phr:hk,13,18.599,bb,ab,ab,-,bb,bb,ab,ab,ab,-,ab,ab
AX-89883001:phr:hk,13,20.893,ab,ab,ab,ab,bb,bb,ab,ab,ab,ab,ab,ab
AX-89884962:phr:hk,13,23.186,ab,ab,ab,ab,bb,bb,ab,ab,ab,ab,ab,ab
AX-89804969:phr:hk,14,0.0,ab,ab,bb,ab,aa,aa,aa,bb,ab,ab,aa,aa
AX-89891621:phr:hk,14,3.338,ab,ab,bb,ab,aa,aa,aa,bb,ab,aa,aa,aa
AX-89818130:phr:hk,14,7.445,ab,ab,bb,ab,aa,aa,aa,bb,ab,bb,aa,aa
AX-89833797:phr:hk,14,10.783,ab,ab,bb,ab,aa,aa,aa,bb,ab,bb,aa,aa
AX-89833346:phr:hk,14,12.868,ab,aa,bb,ab,aa,aa,aa,bb,ab,bb,aa,aa
AX-89905422:phr:hk,14,13.909,ab,aa,bb,ab,aa,aa,aa,bb,ab,bb,ab,aa
AX-89800006:phr:hk,15,0.0,ab,ab,ab,aa,aa,bb,ab,ab,ab,-,ab,ab
AX-89899592:phr:hk,15,4.596,ab,-,-,aa,aa,bb,ab,-,-,aa,ab,ab
AX-89799400:phr:hk,15,6.055,ab,ab,ab,aa,aa,bb,ab,ab,ab,aa,ab,ab
AX-89799267:phr:hk,15,7.097,ab,ab,ab,aa,aa,bb,ab,ab,ab,aa,ab,ab
AX-89799429:phr:hk,15,10.854,ab,ab,ab,aa,aa,bb,aa,ab,ab,aa,ab,-
AX-89842577:phr:hk,15,14.611,ab,ab,ab,aa,aa,bb,ab,ab,ab,aa,ab,ab
AX-89850262:phr:hk,16,0.0,ab,aa,ab,bb,aa,ab,bb,ab,ab,bb,ab,bb
AX-89800049:phr:hk,16,3.338,ab,-,ab,bb,aa,ab,bb,ab,ab,bb,ab,bb
AX-89868656:phr:hk,16,8.987,ab,aa,ab,bb,aa,ab,bb,ab,ab,bb,-,bb
AX-89837793:phr:hk,16,12.325,ab,aa,ab,bb,aa,ab,bb,ab,ab,bb,ab,bb
AX-89838332:phr:hk,16,13.367,ab,aa,ab,bb,aa,ab,bb,ab,ab,bb,ab,bb
AX-89839484:phr:hk,16,20.286,ab,ab,ab,bb,aa,ab,bb,ab,ab,bb,ab,bb
AX-89840146:phr:hk,17,0.0,aa,aa,-,-,ab,aa,ab,aa,bb,ab,aa,ab
AX-89839764:phr:hk,17,3.757,aa,aa,aa,-,ab,aa,ab,aa,bb,ab,aa,ab
AX-89839684:phr:hk,17,4.799,aa,aa,aa,ab,ab,aa,ab,aa,bb,ab,aa,ab
AX-89887813:phr:hk,17,8.137,aa,aa,aa,ab,ab,aa,ab,aa,bb,ab,-,ab
AX-89839013:phr:hk,17,12.733,aa,aa,aa,ab,ab,aa,ab,aa,ab,ab,aa,ab
AX-89868630:phr:hk,17,14.818,aa,aa,aa,ab,ab,aa,ab,aa,ab,ab,aa,ab
AX-89845097:phr:hk,18,0.0,aa,bb,bb,aa,ab,ab,bb,bb,aa,aa,aa,bb
AX-89833003:phr:hk,18,1.042,aa,bb,bb,aa,ab,ab,bb,bb,aa,aa,aa,bb
AX-89791248:phr:hk,18,5.638,aa,bb,bb,aa,ab,ab,bb,bb,-,aa,aa,bb
AX-89824193:phr:hk,18,7.931,aa,bb,bb,aa,ab,ab,bb,bb,aa,aa,aa,bb
AX-89879428:phr:hk,18,10.225,aa,bb,bb,aa,ab,bb,bb,bb,aa,aa,aa,bb
AX-89883206:phr:hk,18,17.569,aa,bb,bb,aa,ab,bb,bb,bb,aa,aa,aa,bb
AX-89833553:phr:hk,19,0.0,ab,ab,bb,ab,bb,aa,ab,bb,bb,ab,aa,ab
AX-89847076:phr:hk,19,9.703,ab,ab,bb,ab,bb,aa,bb,bb,bb,ab,aa,bb
AX-89849191:phr:hk,19,13.042,ab,ab,bb,ab,bb,aa,bb,bb,bb,ab,aa,bb
AX-89891692:phr:hk,19,14.083,ab,ab,bb,ab,bb,aa,bb,bb,bb,ab,aa,bb
AX-89875015:phr:hk,19,15.612,ab,ab,bb,ab,bb,ab,bb,bb,bb,ab,aa,bb
AX-89895317:phr:hk,20,0.0,ab,ab,-,aa,ab,ab,aa,bb,aa,ab,aa,aa
AX-89815992:phr:hk,20,1.042,ab,ab,bb,aa,ab,ab,aa,bb,aa,ab,aa,aa
AX-89779176:phr:hk,20,4.38,ab,ab,bb,aa,ab,ab,aa,-,ab,ab,aa,aa
AX-89817152:phr:hk,20,8.766,ab,aa,bb,aa,ab,aa,aa,bb,ab,ab,aa,aa
AX-89817015:phr:hk,20,11.895,ab,aa,bb,aa,ab,aa,aa,bb,ab,ab,aa,aa
AX-89880590:phr:hk,21,0.0,bb,aa,aa,bb,ab,bb,ab,aa,aa,ab,ab,ab
AX-89879990:phr:hk,21,2.293,bb,aa,aa,bb,ab,bb,ab,aa,aa,bb,ab,ab
AX-89880280:phr:hk,21,5.632,bb,ab,aa,bb,ab,-,ab,aa,aa,bb,ab,ab
AX-89823087:phr:hk,21,7.925,bb,ab,aa,bb,ab,bb,ab,aa,aa,bb,ab,ab
AX-89882348:phr:hk,21,8.967,bb,ab,aa,bb,ab,bb,ab,aa,ab,bb,ab,ab
AX-89791410:phr:hk,22,0.0,ab,ab,bb,ab,ab,-,bb,bb,aa,ab,-,bb
AX-89844222:phr:hk,22,7.344,ab,ab,bb,ab,ab,ab,bb,bb,aa,aa,ab,bb
AX-89800911:phr:hk,22,8.386,ab,ab,bb,ab,ab,ab,bb,bb,aa,aa,ab,bb
AX-89845519:phr:hk,22,15.305,ab,bb,bb,ab,ab,-,bb,bb,ab,aa,ab,bb
AX-89906832:phr:hk,22,17.389,ab,bb,bb,ab,ab,ab,ab,bb,ab,aa,ab,ab
AX-89794205:phr:hk,23,0.0,aa,aa,bb,ab,ab,ab,ab,bb,aa,ab,ab,ab
AX-89849385:phr:hk,23,3.338,aa,aa,bb,bb,ab,ab,ab,bb,ab,ab,ab,ab
AX-89836085:phr:hk,23,6.677,aa,aa,bb,ab,ab,ab,ab,bb,ab,ab,ab,ab
AX-89868143:phr:hk,23,13.595,ab,aa,bb,ab,ab,ab,ab,bb,aa,ab,ab,ab
AX-89891390:phr:hk,23,23.083,ab,aa,bb,ab,ab,aa,ab,bb,aa,ab,ab,ab
AX-89837816:phr:hk,24,0.0,ab,bb,ab,aa,bb,ab,aa,ab,ab,aa,-,aa
AX-89837395:phr:hk,24,3.548,ab,bb,ab,aa,bb,ab,aa,ab,ab,aa,ab,aa
AX-89800013:phr:hk,24,7.934,ab,bb,ab,aa,bb,ab,aa,ab,ab,aa,ab,aa
AX-89842088:phr:hk,24,8.976,ab,bb,ab,aa,-,ab,aa,ab,ab,aa,ab,aa
AX-89899359:phr:hk,24,8.976,ab,bb,ab,aa,bb,ab,aa,ab,ab,aa,-,aa
AX-89874152:phr:hk,25,0.0,ab,bb,aa,bb,ab,bb,bb,-,ab,ab,bb,bb
AX-89873802:phr:hk,25,2.293,ab,ab,aa,bb,ab,bb,bb,aa,ab,ab,bb,bb
AX-89846927:phr:hk,25,5.632,ab,ab,aa,bb,ab,ab,bb,aa,ab,ab,bb,bb
AX-89895307:phr:hk,25,8.761,ab,ab,aa,bb,ab,ab,bb,aa,bb,ab,bb,bb
AX-89782268:phr:hk,26,0.0,aa,ab,bb,aa,ab,aa,ab,bb,bb,aa,ab,ab
AX-89877236:phr:hk,26,1.042,aa,bb,bb,aa,ab,aa,ab,bb,bb,aa,ab,ab
AX-89879622:phr:hk,26,2.084,aa,bb,bb,aa,ab,aa,ab,bb,bb,aa,ab,ab
AX-89880690:phr:hk,26,4.168,aa,bb,bb,aa,ab,aa,ab,bb,bb,ab,ab,ab
AX-89808008:phr:hk,27,0.0,aa,bb,ab,aa,-,ab,aa,ab,ab,bb,ab,aa
AX-89792099:phr:hk,27,2.293,aa,bb,ab,aa,bb,ab,aa,ab,ab,bb,bb,aa
AX-89892627:phr:hk,27,4.587,aa,ab,ab,aa,bb,-,aa,ab,ab,bb,bb,aa
AX-89788583:phr:hk,27,9.603,aa,ab,ab,aa,bb,bb,aa,ab,ab,bb,bb,aa
AX-89838634:phr:hk,28,0.0,bb,bb,-,ab,ab,-,ab,bb,ab,ab,bb,ab
AX-89838284:phr:hk,28,1.25,bb,bb,bb,ab,ab,bb,ab,bb,bb,ab,bb,ab
AX-89796677:phr:hk,28,2.887,bb,bb,bb,ab,ab,bb,ab,bb,aa,ab,-,ab
AX-89900207:phr:hk,28,12.529,bb,ab,bb,ab,ab,bb,ab,bb,bb,ab,bb,ab
AX-89794656:phr:hk,29,0.0,bb,bb,aa,-,ab,aa,ab,-,-,ab,ab,ab
AX-89836424:phr:hk,29,5.017,bb,bb,aa,ab,ab,aa,ab,aa,ab,ab,ab,ab
AX-89836097:phr:hk,29,10.666,bb,bb,aa,ab,ab,ab,ab,aa,ab,ab,ab,ab
AX-89835671:phr:hk,29,12.75,bb,bb,aa,ab,ab,ab,ab,aa,bb,ab,ab,ab
